split,asin,item_id,has_title,has_desc,has_image,has_categories,title_len,desc_len,title_tokens,desc_tokens,text_tokens,category_depth,alpha_ratio,noisy_ratio,cov_i,txt_i,att_i,clean_i,quality_score,quality_bucket
cold,9790794231,11166,1,1,1,1,23,53,3,11,14,4,0.9538461538461539,0.046153846153846156,1.0,0.0729162764619658,0.8571428571428571,1.0,0.6469492681902594,low
cold,B0000683O5,11167,1,1,1,1,45,305,7,50,57,4,0.9464882943143813,0.05351170568561873,1.0,0.5148356032712502,0.8571428571428571,1.0,0.801621032573509,mid
cold,B00008MOQJ,11168,1,1,1,1,41,273,6,40,46,4,0.922509225092251,0.07749077490774908,1.0,0.44611769464658035,0.8571428571428571,1.0,0.7775697645548746,mid
cold,B0001AGMWE,11169,1,1,1,1,47,513,7,81,88,4,0.9621052631578947,0.037894736842105266,1.0,0.6547556913655711,0.8571428571428571,1.0,0.8505930634065212,high
cold,B0001B86HM,11170,1,1,1,1,46,525,9,83,92,4,0.9563409563409564,0.04365904365904366,1.0,0.6691214538652088,0.8571428571428571,1.0,0.8556210802813945,high
cold,B00022F1DW,11171,1,1,1,1,42,733,6,104,110,3,0.9504504504504504,0.04954954954954955,1.0,0.7269368303560694,0.7142857142857143,1.0,0.8472850334817672,high
cold,B00027DHYM,11172,1,1,1,1,45,615,9,101,110,4,0.9584086799276673,0.04159132007233273,1.0,0.7269368303560694,0.8571428571428571,1.0,0.8758564620531958,high
cold,B00028LURW,11173,1,1,1,1,18,1658,4,269,273,4,0.9614285714285714,0.03857142857142857,1.0,1.0,0.8571428571428571,1.0,0.9714285714285714,high
cold,B00028PDWK,11174,1,1,1,1,36,314,6,50,56,5,0.9695945945945946,0.030405405405405407,1.0,0.5091525301451606,1.0,1.0,0.8282033855508061,mid
cold,B0002EBI82,11175,1,1,1,1,29,794,4,127,131,4,0.9654178674351584,0.0345821325648415,1.0,0.7835565653071721,0.8571428571428571,1.0,0.8956733692860815,high
cold,B0002SGNOM,11176,1,1,1,1,64,153,9,28,37,3,0.945054945054945,0.054945054945054944,1.0,0.37665931784136814,0.7142857142857143,1.0,0.7246879041016216,low
cold,B00066YC34,11177,1,1,1,1,72,461,15,82,97,5,0.9363636363636364,0.06363636363636363,1.0,0.6862336602778424,1.0,1.0,0.8901817810972447,high
cold,B0006M56BK,11178,1,1,1,1,60,62,9,9,18,5,0.9811320754716981,0.018867924528301886,1.0,0.15016067538060965,1.0,1.0,0.7025562363832133,low
cold,B0006Q00ZI,11179,1,1,1,1,32,84,6,13,19,5,0.9595959595959596,0.04040404040404041,1.0,0.1669217066189319,1.0,1.0,0.7084225973166262,low
cold,B0006Q23H6,11180,1,1,1,1,76,314,14,47,61,3,0.9667673716012085,0.03323262839879154,1.0,0.5366282415614164,0.7142857142857143,1.0,0.7806770274036385,mid
